startstationid,starttotaldocks
72.0,55.0
79.0,33.0
82.0,27.0
83.0,62.0
119.0,19.0
120.0,19.0
127.0,31.0
128.0,30.0
143.0,24.0
144.0,19.0
146.0,39.0
150.0,54.0
157.0,23.0
161.0,35.0
164.0,47.0
167.0,45.0
168.0,47.0
174.0,30.0
195.0,45.0
212.0,60.0
216.0,23.0
217.0,39.0
223.0,33.0
229.0,23.0
236.0,47.0
237.0,27.0
238.0,31.0
239.0,31.0
241.0,23.0
242.0,23.0
243.0,31.0
244.0,31.0
245.0,23.0
248.0,23.0
249.0,27.0
251.0,27.0
252.0,33.0
254.0,59.0
257.0,39.0
258.0,23.0
259.0,19.0
260.0,33.0
261.0,27.0
264.0,27.0
265.0,35.0
266.0,30.0
267.0,57.0
268.0,23.0
270.0,23.0
274.0,31.0
275.0,19.0
276.0,25.0
278.0,19.0
280.0,31.0
281.0,66.0
285.0,53.0
289.0,19.0
291.0,20.0
295.0,24.0
297.0,27.0
301.0,58.0
302.0,23.0
303.0,67.0
304.0,33.0
305.0,33.0
307.0,30.0
308.0,27.0
309.0,41.0
310.0,36.0
311.0,31.0
312.0,31.0
313.0,23.0
314.0,39.0
315.0,29.0
316.0,43.0
317.0,54.0
319.0,33.0
320.0,27.0
321.0,27.0
323.0,39.0
324.0,51.0
325.0,35.0
326.0,41.0
327.0,39.0
328.0,23.0
330.0,39.0
331.0,27.0
332.0,36.0
334.0,31.0
335.0,27.0
336.0,36.0
339.0,30.0
340.0,27.0
341.0,19.0
342.0,29.0
343.0,23.0
344.0,23.0
346.0,27.0
349.0,61.0
350.0,28.0
351.0,39.0
353.0,27.0
354.0,23.0
355.0,43.0
356.0,23.0
357.0,27.0
358.0,50.0
359.0,64.0
360.0,39.0
361.0,43.0
362.0,57.0
363.0,49.0
364.0,27.0
365.0,31.0
366.0,33.0
368.0,39.0
369.0,21.0
373.0,19.0
376.0,43.0
377.0,45.0
379.0,42.0
380.0,42.0
382.0,36.0
383.0,39.0
385.0,29.0
386.0,43.0
387.0,39.0
389.0,27.0
390.0,31.0
391.0,31.0
392.0,35.0
393.0,37.0
394.0,34.0
397.0,27.0
399.0,27.0
400.0,15.0
401.0,42.0
403.0,31.0
405.0,51.0
406.0,34.0
407.0,37.0
408.0,23.0
410.0,45.0
411.0,31.0
414.0,24.0
415.0,42.0
416.0,31.0
417.0,25.0
418.0,23.0
419.0,23.0
420.0,23.0
421.0,19.0
422.0,79.0
423.0,27.0
426.0,29.0
427.0,47.0
432.0,31.0
435.0,50.0
436.0,27.0
438.0,47.0
439.0,39.0
440.0,32.0
441.0,40.0
442.0,51.0
443.0,23.0
445.0,79.0
446.0,47.0
447.0,31.0
448.0,27.0
450.0,67.0
453.0,66.0
454.0,35.0
455.0,59.0
459.0,49.0
460.0,25.0
461.0,56.0
462.0,47.0
465.0,39.0
466.0,35.0
467.0,34.0
468.0,65.0
469.0,57.0
470.0,72.0
471.0,31.0
474.0,56.0
476.0,47.0
477.0,59.0
478.0,37.0
479.0,31.0
480.0,27.0
481.0,25.0
482.0,77.0
483.0,34.0
484.0,46.0
485.0,40.0
486.0,41.0
487.0,34.0
490.0,66.0
491.0,51.0
492.0,68.0
494.0,66.0
495.0,39.0
496.0,47.0
497.0,66.0
498.0,30.0
499.0,36.0
500.0,52.0
501.0,79.0
502.0,30.0
503.0,31.0
504.0,53.0
505.0,39.0
507.0,45.0
508.0,25.0
509.0,63.0
513.0,27.0
514.0,52.0
515.0,35.0
516.0,31.0
517.0,69.0
520.0,41.0
522.0,51.0
523.0,51.0
524.0,57.0
525.0,56.0
526.0,40.0
528.0,39.0
531.0,39.0
532.0,43.0
533.0,46.0
534.0,31.0
536.0,29.0
539.0,31.0
545.0,27.0
546.0,45.0
2000.0,30.0
2005.0,12.0
2006.0,49.0
2008.0,24.0
2009.0,35.0
2021.0,43.0
2022.0,33.0
2023.0,36.0
3041.0,24.0
3043.0,19.0
3044.0,27.0
3046.0,19.0
3048.0,19.0
3049.0,18.0
3050.0,21.0
3052.0,23.0
3054.0,19.0
3056.0,23.0
3057.0,18.0
3058.0,24.0
3059.0,19.0
3060.0,19.0
3061.0,21.0
3062.0,23.0
3063.0,20.0
3064.0,23.0
3065.0,31.0
3066.0,19.0
3067.0,27.0
3068.0,42.0
3069.0,29.0
3070.0,23.0
3071.0,19.0
3072.0,24.0
3074.0,42.0
3075.0,33.0
3076.0,36.0
3077.0,33.0
3081.0,29.0
3082.0,25.0
3083.0,32.0
3085.0,25.0
3086.0,30.0
3087.0,30.0
3092.0,27.0
3093.0,28.0
3094.0,18.0
3095.0,26.0
3101.0,27.0
3105.0,24.0
3107.0,39.0
3109.0,31.0
3110.0,28.0
3112.0,33.0
3113.0,27.0
3115.0,50.0
3116.0,35.0
3117.0,27.0
3119.0,45.0
3121.0,27.0
3123.0,27.0
3124.0,27.0
3125.0,23.0
3126.0,34.0
3127.0,35.0
3128.0,23.0
3129.0,31.0
3130.0,31.0
3132.0,35.0
3134.0,51.0
3135.0,41.0
3136.0,47.0
3137.0,31.0
3140.0,55.0
3141.0,59.0
3142.0,41.0
3145.0,45.0
3146.0,47.0
3148.0,31.0
3150.0,47.0
3151.0,43.0
3152.0,42.0
3155.0,39.0
3156.0,37.0
3157.0,27.0
3158.0,31.0
3159.0,31.0
3160.0,39.0
3162.0,39.0
3163.0,43.0
3164.0,67.0
3168.0,31.0
3169.0,39.0
3170.0,35.0
3171.0,39.0
3172.0,27.0
3175.0,31.0
3177.0,63.0
3178.0,39.0
3179.0,23.0
3221.0,27.0
3226.0,45.0
3282.0,38.0
3283.0,47.0
3285.0,43.0
3286.0,39.0
3288.0,39.0
3293.0,24.0
3294.0,38.0
3295.0,59.0
3298.0,23.0
3299.0,25.0
3301.0,39.0
3303.0,25.0
3304.0,27.0
3306.0,23.0
3307.0,31.0
3308.0,27.0
3309.0,30.0
3310.0,24.0
3311.0,21.0
3314.0,32.0
3315.0,23.0
3317.0,24.0
3319.0,21.0
3321.0,25.0
3324.0,25.0
3326.0,21.0
3327.0,27.0
3328.0,39.0
3329.0,27.0
3330.0,19.0
3335.0,28.0
3336.0,41.0
3338.0,31.0
3339.0,23.0
3340.0,21.0
3341.0,41.0
3342.0,23.0
3344.0,19.0
3347.0,21.0
3348.0,19.0
3349.0,30.0
3350.0,39.0
3351.0,25.0
3354.0,31.0
3356.0,21.0
3358.0,25.0
3359.0,35.0
3360.0,25.0
3361.0,23.0
3362.0,34.0
3363.0,33.0
3364.0,27.0
3367.0,39.0
3369.0,29.0
3370.0,25.0
3372.0,39.0
3373.0,27.0
3374.0,36.0
3375.0,35.0
3377.0,25.0
3378.0,28.0
3381.0,21.0
3382.0,31.0
3383.0,25.0
3386.0,27.0
3388.0,25.0
3389.0,28.0
3390.0,24.0
3391.0,25.0
3394.0,21.0
3396.0,25.0
3397.0,25.0
3400.0,24.0
3401.0,19.0
3402.0,23.0
3403.0,31.0
3405.0,23.0
3408.0,27.0
3409.0,35.0
3410.0,31.0
3411.0,27.0
3412.0,18.0
3413.0,22.0
3415.0,25.0
3417.0,27.0
3420.0,21.0
3422.0,21.0
3424.0,27.0
3425.0,33.0
3435.0,45.0
3491.0,24.0
3492.0,27.0
3493.0,31.0
3494.0,25.0
3496.0,25.0
3497.0,23.0
3498.0,21.0
3499.0,25.0
3500.0,31.0
3501.0,29.0
3503.0,30.0
3504.0,27.0
3505.0,32.0
3508.0,31.0
3509.0,31.0
3510.0,31.0
3511.0,22.0
3514.0,23.0
3515.0,19.0
3517.0,35.0
3520.0,27.0
3521.0,36.0
3522.0,19.0
3525.0,21.0
3528.0,21.0
3529.0,25.0
3530.0,19.0
3531.0,27.0
3532.0,27.0
3535.0,18.0
3536.0,43.0
3538.0,45.0
3539.0,43.0
3540.0,35.0
3541.0,39.0
3542.0,29.0
3544.0,27.0
3545.0,33.0
3547.0,41.0
3549.0,25.0
3552.0,39.0
3553.0,37.0
3556.0,19.0
3557.0,19.0
3559.0,19.0
3560.0,19.0
3561.0,26.0
3562.0,27.0
3564.0,19.0
3565.0,19.0
3572.0,33.0
3574.0,23.0
3575.0,19.0
3576.0,27.0
3577.0,23.0
3579.0,25.0
3580.0,30.0
3581.0,27.0
3582.0,28.0
3583.0,31.0
3585.0,24.0
3586.0,19.0
3587.0,27.0
3588.0,21.0
3590.0,19.0
3591.0,21.0
3593.0,35.0
3595.0,18.0
3596.0,19.0
3597.0,25.0
3601.0,19.0
3602.0,23.0
3603.0,21.0
3606.0,21.0
3607.0,19.0
3608.0,21.0
3611.0,31.0
3613.0,27.0
3614.0,23.0
3616.0,25.0
3617.0,27.0
3618.0,25.0
3619.0,19.0
3623.0,39.0
3628.0,31.0
