rent_freq,start_station_id,return_freq,apparent_temperature,cloud_cover,humidity,icon,precipAccumulation,precip_intensity,temperature,uv_index,visibility,wind_speed,holiday,weekday
1,469,1,31.11,0.44,0.74,partly-cloudy-day,0.0,0.0,34.29,0.0,10.0,3.64,False,Tue
1,531,1,20.33,0.08,0.63,clear-night,0.0,0.0,25.8,0.0,10.0,4.49,False,Sun
1,494,1,30.85,0.82,0.66,partly-cloudy-day,0.0,0.0,30.85,2.0,10.0,0.58,False,Tue
1,2008,2,20.46,0.0,0.79,clear-night,0.0,0.0,20.46,0.0,10.0,1.16,False,Fri
1,447,1,35.37,1.0,0.93,cloudy,0.0,0.0,35.37,0.0,4.16,0.56,False,Tue
1,423,1,50.36,1.0,0.76,cloudy,0.0,0.0011,50.36,0.0,10.0,3.23,False,Sun
1,3167,1,36.29,0.87,0.69,partly-cloudy-day,0.0,0.0,36.29,1.0,10.0,2.6,False,Thu
1,500,1,22.28,0.69,0.57,partly-cloudy-night,0.0,0.0,22.28,0.0,10.0,0.2,False,Tue
1,469,1,27.87,0.36,0.55,partly-cloudy-day,0.0,0.0,27.87,2.0,10.0,2.23,False,Fri
1,525,1,28.09,0.39,0.77,partly-cloudy-night,0.0,0.0,28.09,0.0,10.0,0.89,False,Wed
1,536,1,51.73,0.84,0.72,partly-cloudy-day,0.0,0.0,51.73,2.0,10.0,3.58,False,Fri
1,492,2,51.41,1.0,0.92,cloudy,0.0,0.0,51.41,0.0,10.0,2.42,False,Tue
1,3132,1,56.74,0.76,0.92,partly-cloudy-day,0.0,0.0,56.74,0.0,10.0,3.26,False,Wed
1,284,1,41.07,0.0,0.91,clear-day,0.0,0.0,41.07,0.0,10.0,1.23,False,Sat
1,405,1,45.63,0.0,0.39,clear-day,0.0,0.0,46.55,4.0,10.0,3.15,False,Tue
1,479,1,31.94,1.0,0.91,rain,0.0,0.0273,37.44,0.0,6.15,7.2,False,Fri
1,477,1,36.5,1.0,0.6,cloudy,0.0,0.0,36.5,1.0,10.0,1.93,False,Tue
1,2009,3,31.66,0.54,0.77,partly-cloudy-night,0.0,0.0,31.66,0.0,10.0,2.72,False,Sat
1,468,1,27.83,0.35,0.92,partly-cloudy-night,0.0,0.0,27.83,0.0,9.35,0.77,False,Wed
1,458,1,14.8,0.0,0.35,clear-day,0.0,0.0,20.83,3.0,10.0,4.29,False,Sun
1,446,2,40.48,0.0,0.33,clear-day,0.0,0.0,40.48,5.0,10.0,0.35,False,Tue
2,127,1,44.71,0.48,0.46,partly-cloudy-day,0.0,0.0,44.71,5.0,10.0,1.12,False,Fri
1,447,1,40.31,1.0,0.63,cloudy,0.0,0.0,40.31,0.0,10.0,0.54,False,Sat
1,515,1,26.01,0.0,0.79,clear-night,0.0,0.0,26.01,0.0,10.0,0.27,False,Tue
1,3547,1,54.64,0.97,0.55,cloudy,0.0,0.0,54.64,4.0,10.0,0.41,False,Thu
1,405,1,46.45,0.5,0.61,partly-cloudy-day,0.0,0.0,48.26,2.0,10.0,4.58,False,Sun
1,469,1,32.79,0.0,0.29,clear-day,0.0,0.0,38.02,7.0,10.0,6.93,False,Thu
1,368,3,33.43,0.94,0.7,cloudy,0.0,0.0007,36.64,3.0,10.0,4.01,False,Sat
1,3175,1,25.33,0.02,0.51,clear-night,0.0,0.0,32.67,0.0,10.0,8.55,False,Sun
1,405,1,54.69,0.0,0.42,clear-day,0.0,0.0,54.69,7.0,10.0,1.38,False,Thu
1,173,3,65.43,0.72,0.49,partly-cloudy-day,0.0,0.0,65.43,5.0,10.0,1.69,False,Fri
2,525,1,54.21,0.3,0.66,partly-cloudy-day,0.0,0.0,54.21,4.0,10.0,3.13,False,Sat
3,281,1,45.85,0.9,0.59,partly-cloudy-day,0.0,0.0,47.8,5.0,10.0,4.67,False,Tue
1,3162,1,40.14,1.0,0.69,cloudy,0.0,0.0,40.14,0.0,10.0,0.47,False,Thu
