"","startsaleprice","startzip","startneighborhood"
"1",2386172.10185185,"10009","Alphabet City"
"2",624202.190476191,"11214","Bath Beach"
"3",585083.5,"11228","Bath Beach"
"4",552581.87826087,"11209","Bay Ridge"
"5",594980.114285714,"11220","Bay Ridge"
"6",209628.5,"11228","Bay Ridge"
"7",717011.782608696,"11205","Bedford Stuyvesant"
"8",805655.038461538,"11206","Bedford Stuyvesant"
"9",1272887.3125,"11216","Bedford Stuyvesant"
"10",2435643.4,"11221","Bedford Stuyvesant"
"11",2223442.15384615,"11233","Bedford Stuyvesant"
"12",1506333.33333333,"11238","Bedford Stuyvesant"
"13",740587.272727273,"11204","Bensonhurst"
"14",1210479.02439024,"11214","Bensonhurst"
"15",1353333.33333333,"11219","Bensonhurst"
"16",1605000,"11228","Bensonhurst"
"17",554545.454545455,"11234","Bergen Beach"
"18",2316506.58823529,"11201","Boerum Hill"
"19",1849478.15277778,"11217","Boerum Hill"
"20",1227616.76470588,"11204","Borough Park"
"21",689198,"11218","Borough Park"
"22",1806828.22807018,"11219","Borough Park"
"23",3871175,"11220","Borough Park"
"24",1347250,"11232","Borough Park"
"25",518307.164556962,"11235","Brighton Beach"
"26",1928248.20141343,"11201","Brooklyn Heights"
"27",729563.125,"11212","Brownsville"
"28",1735000,"11220","Bush Terminal"
"29",7108333.33333333,"11206","Bushwick"
"30",628528.55,"11207","Bushwick"
"31",1555900,"11221","Bushwick"
"32",1255437.5,"11237","Bushwick"
"33",597829.333333333,"11236","Canarsie"
"34",3100000,"11201","Carroll Gardens"
"35",1498121.23728814,"11231","Carroll Gardens"
"36",2131083.22,"10001","Chelsea"
"37",3441142,"10010","Chelsea"
"38",2268930.77514793,"10011","Chelsea"
"39",2718129,"10014","Chelsea"
"40",1641523.61904762,"10002","Chinatown"
"41",4424290.64285714,"10013","Chinatown"
"42",5257331.625,"10007","Civic Center"
"43",5762421.34375,"10013","Civic Center"
"44",720333.333333333,"10038","Civic Center"
"45",1662076.48543689,"10019","Clinton"
"46",3105472.37,"10036","Clinton"
"47",946545.6125,"11205","Clinton Hill"
"48",1214002.075,"11238","Clinton Hill"
"49",1263335.23809524,"11201","Cobble Hill"
"50",3438846.15384615,"11231","Cobble Hill"
"51",1322313.1,"11201","Cobble Hill-West"
"52",1210937.5,"11231","Cobble Hill-West"
"53",810837.753968254,"11224","Coney Island"
"54",1720074.85483871,"11213","Crown Heights"
"55",1361903.06451613,"11216","Crown Heights"
"56",3570704.61538462,"11225","Crown Heights"
"57",698000,"11233","Crown Heights"
"58",1268076.12121212,"11238","Crown Heights"
"59",2935000,"11207","Cypress Hills"
"60",1274600,"11208","Cypress Hills"
"61",2010703.28735632,"11201","Downtown-Fulton Ferry"
"62",1035312.3943662,"11201","Downtown-Fulton Mall"
"63",1065411.45901639,"11217","Downtown-Fulton Mall"
"64",795575.788235294,"11201","Downtown-Metrotech"
"65",1421666.66666667,"11219","Dyker Heights"
"66",1173333.33333333,"11228","Dyker Heights"
"67",554461.680555556,"11207","East New York"
"68",667891.434782609,"11208","East New York"
"69",3103682.57575758,"10003","East Village"
"70",2676740.32380952,"10009","East Village"
"71",1752182.66666667,"10001","Fashion"
